archetype_key,archetype_name,problem_id,stakeholder_type,intent_type,search_phrase,realism_pass,aligned,intent_clear,is_duplicate,search_realism,human_language,archetype_alignment,intent_clarity,composite
academic_achievement,Academic Achievement & Exam Performance,1,student,informational,what is low grades and exam results?,true,true,true,false,5,5,5,5,5
academic_achievement,Academic Achievement & Exam Performance,1,parent,informational,what causes low grades and exam results in children?,true,true,true,false,5,5,5,5,5
academic_achievement,Academic Achievement & Exam Performance,1,teacher,informational,signs of low grades and exam results in students,true,true,true,false,5,5,5,5,5
academic_achievement,Academic Achievement & Exam Performance,1,counselor,informational,what does low grades and exam results look like?,true,true,true,false,5,5,5,5,5
academic_achievement,Academic Achievement & Exam Performance,1,professional,informational,what is low grades and exam results at work?,true,true,true,false,5,5,5,5,5
academic_achievement,Academic Achievement & Exam Performance,1,student,diagnostic,why do I study hard but my grades stay low?,true,true,true,false,5,5,4,5,4.75
academic_achievement,Academic Achievement & Exam Performance,1,parent,diagnostic,why does my child study hard but their grades stay low?,true,true,true,false,5,5,4,5,4.75
academic_achievement,Academic Achievement & Exam Performance,1,teacher,diagnostic,why does a student study hard but their grades stay low?,true,true,true,false,5,5,4,5,4.75
academic_achievement,Academic Achievement & Exam Performance,1,counselor,diagnostic,why does a client study hard but their grades stay low?,true,true,true,false,5,5,4,5,4.75
academic_achievement,Academic Achievement & Exam Performance,1,professional,diagnostic,why do I study hard but my grades stay low at work?,true,true,true,false,5,5,4,5,4.75
academic_achievement,Academic Achievement & Exam Performance,1,student,emotional,I feel discouraged about low grades,true,true,true,false,5,5,3,5,4.5
academic_achievement,Academic Achievement & Exam Performance,1,parent,emotional,I am worried my child is discouraged about low grades,true,true,true,false,5,5,3,5,4.5
academic_achievement,Academic Achievement & Exam Performance,1,teacher,emotional,my student seems discouraged about low grades in class,true,true,true,false,5,5,4,5,4.75
academic_achievement,Academic Achievement & Exam Performance,1,counselor,emotional,my client feels discouraged about low grades,true,true,true,false,5,5,3,5,4.5
