id,atomic_signal_id,family,old_tag,new_tag
921,ATM_OVR_001,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
922,ATM_OVR_002,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
923,ATM_OVR_003,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
924,ATM_OVR_004,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
925,ATM_OVR_005,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
927,ATM_OVR_007,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
929,ATM_OVR_009,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
932,ATM_OVR_012,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
933,ATM_OVR_013,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
935,ATM_OVR_015,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
940,ATM_OVR_020,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
941,ATM_OVR_021,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
942,ATM_OVR_022,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
945,ATM_OVR_025,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
946,ATM_OVR_026,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
947,ATM_OVR_027,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
948,ATM_OVR_028,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
949,ATM_OVR_029,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
950,ATM_OVR_030,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
952,ATM_OVR_032,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
953,ATM_OVR_033,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
954,ATM_OVR_034,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
955,ATM_OVR_035,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
958,ATM_OVR_038,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
960,ATM_OVR_040,overthinking_signals,GENERAL_CONCERN,THINKING_QUALITY
1010,ATM_FUT_010,future_orientation_signals,GENERAL_CONCERN,FUTURE_ORIENTATION
1012,ATM_FUT_012,future_orientation_signals,GENERAL_CONCERN,FUTURE_ORIENTATION
1014,ATM_FUT_014,future_orientation_signals,GENERAL_CONCERN,FUTURE_ORIENTATION
1016,ATM_FUT_016,future_orientation_signals,GENERAL_CONCERN,FUTURE_ORIENTATION
1018,ATM_FUT_018,future_orientation_signals,GENERAL_CONCERN,FUTURE_ORIENTATION
1020,ATM_FUT_020,future_orientation_signals,GENERAL_CONCERN,FUTURE_ORIENTATION
1021,ATM_FUT_021,future_orientation_signals,GENERAL_CONCERN,FUTURE_ORIENTATION
1029,ATM_FUT_029,future_orientation_signals,GENERAL_CONCERN,FUTURE_ORIENTATION
1031,ATM_FUT_031,future_orientation_signals,GENERAL_CONCERN,FUTURE_ORIENTATION
1033,ATM_FUT_033,future_orientation_signals,GENERAL_CONCERN,FUTURE_ORIENTATION
1035,ATM_FUT_035,future_orientation_signals,GENERAL_CONCERN,FUTURE_ORIENTATION
1040,ATM_FUT_040,future_orientation_signals,GENERAL_CONCERN,FUTURE_ORIENTATION
1122,ATM_PRI_002,prioritization_signals,GENERAL_CONCERN,DISCIPLINE_HABITS
1124,ATM_PRI_004,prioritization_signals,GENERAL_CONCERN,DISCIPLINE_HABITS
1130,ATM_PRI_010,prioritization_signals,GENERAL_CONCERN,DISCIPLINE_HABITS
1132,ATM_PRI_012,prioritization_signals,GENERAL_CONCERN,DISCIPLINE_HABITS
1134,ATM_PRI_014,prioritization_signals,GENERAL_CONCERN,DISCIPLINE_HABITS
1136,ATM_PRI_016,prioritization_signals,GENERAL_CONCERN,DISCIPLINE_HABITS
1138,ATM_PRI_018,prioritization_signals,GENERAL_CONCERN,DISCIPLINE_HABITS
1146,ATM_PRI_026,prioritization_signals,GENERAL_CONCERN,DISCIPLINE_HABITS
1148,ATM_PRI_028,prioritization_signals,GENERAL_CONCERN,DISCIPLINE_HABITS
1152,ATM_PRI_032,prioritization_signals,GENERAL_CONCERN,DISCIPLINE_HABITS
1156,ATM_PRI_036,prioritization_signals,GENERAL_CONCERN,DISCIPLINE_HABITS
1158,ATM_PRI_038,prioritization_signals,GENERAL_CONCERN,DISCIPLINE_HABITS
1160,ATM_PRI_040,prioritization_signals,GENERAL_CONCERN,DISCIPLINE_HABITS
1607,BEH_AVD_003,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1608,BEH_AVD_004,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1609,BEH_AVD_005,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1610,BEH_AVD_006,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1614,BEH_AVD_010,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1615,BEH_AVD_011,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1617,BEH_AVD_013,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1618,BEH_AVD_014,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1622,BEH_AVD_018,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1623,BEH_AVD_019,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1624,BEH_AVD_020,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1625,BEH_AVD_021,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1626,BEH_AVD_022,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1627,BEH_AVD_023,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1629,BEH_AVD_025,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1630,BEH_AVD_026,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1631,BEH_AVD_027,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1632,BEH_AVD_028,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1633,BEH_AVD_029,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1634,BEH_AVD_030,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1635,BEH_AVD_031,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1636,BEH_AVD_032,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1638,BEH_AVD_034,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1639,BEH_AVD_035,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
1640,BEH_AVD_036,avoidance_signals,GENERAL_CONCERN,ADJUSTMENT_COPING
